,0,1,2,3,4
0,0.219,0.2064,0.2162,0.2798,0.2126
1,0.2156,0.2954,0.2728,0.2024,0.216
2,0.2092,0.2466,0.2244,0.244,0.2304
3,0.2206,0.2158,0.2572,0.2332,0.3288
4,0.2872,0.2244,0.215,0.3276,0.235
5,0.336,0.2646,0.2402,0.2236,0.2552
6,0.2468,0.2936,0.293,0.3058,0.3076
7,0.2464,0.2966,0.3114,0.2508,0.3006
8,0.2496,0.3142,0.3638,0.3142,0.254
9,0.252,0.2558,0.302,0.2588,0.312
10,0.2486,0.2566,0.3036,0.3188,0.367
11,0.3006,0.259,0.2642,0.3324,0.2568
12,0.3148,0.2664,0.2966,0.337,0.2654
13,0.3798,0.3258,0.339,0.3296,0.2646
14,0.3768,0.3812,0.3536,0.3392,0.2788
15,0.2962,0.364,0.3572,0.383,0.343
16,0.3608,0.2916,0.3652,0.335,0.3032
17,0.3348,0.2998,0.358,0.3788,0.2846
18,0.3452,0.394,0.3738,0.2832,0.3014
19,0.36,0.352,0.4,0.3784,0.312
20,0.3546,0.3512,0.3168,0.3854,0.3608
21,0.3638,0.3232,0.3696,0.4036,0.3866
22,0.3508,0.371,0.4084,0.3702,0.4048
23,0.4028,0.3296,0.3588,0.4054,0.3192
24,0.4086,0.3186,0.3216,0.3858,0.3938
25,0.3962,0.3852,0.4002,0.3186,0.3876
26,0.3138,0.3222,0.4114,0.3814,0.3542
27,0.3212,0.353,0.4102,0.3786,0.3954
28,0.399,0.3548,0.3234,0.3868,0.413
29,0.319,0.3784,0.3828,0.3954,0.3772
30,0.3848,0.3868,0.3634,0.4106,0.3734
31,0.331,0.393,0.4116,0.3454,0.4118
32,0.4076,0.392,0.3536,0.3446,0.4078
33,0.3402,0.4042,0.4032,0.4058,0.3948
34,0.3868,0.407,0.3466,0.368,0.403
35,0.3822,0.3684,0.4144,0.4058,0.3534
36,0.4114,0.412,0.4002,0.3238,0.3614
37,0.3212,0.4088,0.3924,0.3948,0.403
38,0.3542,0.395,0.3966,0.4126,0.3744
39,0.3734,0.3958,0.3978,0.3556,0.4106
40,0.3244,0.4194,0.3604,0.394,0.3742
41,0.409,0.393,0.398,0.3592,0.3964
42,0.3618,0.3964,0.405,0.3976,0.406
43,0.4236,0.4152,0.391,0.363,0.3764
44,0.3758,0.4118,0.4104,0.3954,0.3886
45,0.3768,0.3312,0.3976,0.3684,0.4124
46,0.4128,0.3992,0.4016,0.4132,0.3872
47,0.384,0.3976,0.3262,0.4094,0.4228
48,0.4144,0.4154,0.3832,0.385,0.4136
49,0.4138,0.404,0.4216,0.4012,0.4154
50,0.4154,0.368,0.3922,0.385,0.3302
51,0.4172,0.3316,0.384,0.385,0.413
52,0.4136,0.4058,0.3608,0.4208,0.3828
53,0.4074,0.381,0.4072,0.3978,0.3288
54,0.3284,0.3628,0.3924,0.4204,0.413
55,0.3296,0.4074,0.3814,0.4072,0.4188
56,0.3954,0.4022,0.3632,0.4124,0.4202
57,0.4204,0.364,0.4024,0.3344,0.414
58,0.3336,0.3786,0.3972,0.364,0.411
59,0.377,0.3954,0.3372,0.3638,0.406
60,0.409,0.367,0.4114,0.3382,0.4086
61,0.3948,0.343,0.3978,0.408,0.4086
62,0.4066,0.3458,0.3948,0.409,0.409
63,0.4092,0.4086,0.4194,0.37,0.3954
64,0.3806,0.406,0.4078,0.4194,0.409
65,0.4226,0.3836,0.3598,0.3956,0.4
66,0.4038,0.3714,0.4068,0.3996,0.3948
67,0.4026,0.364,0.4136,0.4056,0.3952
68,0.3928,0.3958,0.4242,0.4086,0.4034
69,0.4244,0.3774,0.3834,0.4078,0.4036
70,0.4078,0.3772,0.3988,0.4092,0.4136
71,0.3728,0.41,0.4258,0.3946,0.4088
72,0.4018,0.3778,0.3972,0.409,0.4118
73,0.4126,0.3802,0.3976,0.4256,0.4112
74,0.4004,0.4104,0.4096,0.3946,0.4252
75,0.3958,0.3864,0.4138,0.39,0.411
76,0.395,0.4258,0.386,0.4072,0.4114
77,0.3918,0.3972,0.408,0.3946,0.4018
78,0.426,0.3914,0.3918,0.4096,0.382
79,0.408,0.409,0.3774,0.3992,0.3934
80,0.4022,0.4094,0.3994,0.3942,0.407
81,0.4114,0.3926,0.3822,0.396,0.4066
82,0.3972,0.391,0.4026,0.3966,0.3792
83,0.4076,0.3962,0.3974,0.4238,0.4058
84,0.4248,0.3924,0.4094,0.3944,0.4028
85,0.4086,0.395,0.3944,0.397,0.4076
86,0.394,0.396,0.4046,0.397,0.3844
87,0.3954,0.401,0.405,0.4046,0.397
88,0.4078,0.425,0.4042,0.3942,0.4008
89,0.3968,0.408,0.3832,0.404,0.396
90,0.3838,0.398,0.4036,0.3958,0.4032
91,0.4216,0.4052,0.3864,0.3974,0.398
92,0.4036,0.4044,0.405,0.3994,0.3862
93,0.3996,0.3876,0.4206,0.3986,0.4038
94,0.4098,0.3968,0.4034,0.3868,0.3992
95,0.3872,0.3988,0.4078,0.4038,0.3962
96,0.4038,0.3854,0.4198,0.3958,0.4016
97,0.4034,0.399,0.397,0.4036,0.3948
98,0.4028,0.4002,0.4022,0.4202,0.3976
99,0.3886,0.4016,0.4108,0.3998,0.3982
