,0,1,2,3,4,5,6,7,8,9
0,0.4875,0.6292105263157894,0.7256578947368421,0.6453947368421052,0.6575,0.77,0.7061842105263157,0.7623684210526316,0.7322368421052632,0.675
1,0.6289473684210526,0.7080263157894737,0.8085526315789474,0.7082894736842106,0.7280263157894736,0.7647368421052632,0.7580263157894737,0.7739473684210526,0.8272368421052632,0.7638157894736842
2,0.8107894736842105,0.6925,0.8405263157894737,0.8432894736842105,0.8431578947368421,0.8243421052631579,0.7523684210526316,0.7042105263157895,0.7588157894736842,0.6910526315789474
3,0.8521052631578947,0.8081578947368421,0.834078947368421,0.7210526315789474,0.8556578947368421,0.8292105263157895,0.8514473684210526,0.8518421052631578,0.839078947368421,0.8609210526315789
4,0.8564473684210526,0.7784210526315789,0.8157894736842105,0.8551315789473685,0.8505263157894737,0.845657894736842,0.7726315789473684,0.7502631578947369,0.8565789473684211,0.8201315789473684
5,0.828421052631579,0.8251315789473684,0.7731578947368422,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
