,0,1,2,3,4
0,0.2853333333333333,0.18383333333333332,0.08766666666666667,0.18533333333333332,0.6363333333333333
1,0.5506666666666666,0.5945,0.411,0.36566666666666664,0.5073333333333333
2,0.5478333333333333,0.6606666666666666,0.5565,0.6068333333333333,0.6445
3,0.5991666666666666,0.5858333333333333,0.6625,0.6381666666666667,0.6305
4,0.6446666666666667,0.6615,0.6058333333333333,0.6388333333333334,0.6436666666666667
5,0.6476666666666666,0.6441666666666667,0.6481666666666667,0.6015,0.6593333333333333
6,0.6516666666666666,0.664,0.6636666666666666,0.6466666666666666,0.6145
7,0.6486666666666666,0.6551666666666667,0.6453333333333333,0.652,0.6608333333333334
8,0.6425,0.6273333333333333,0.658,0.651,0.6586666666666666
9,0.6401666666666667,0.6188333333333333,0.6695,0.659,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
